浙江组播源,#genre#
CCTV-3,http://183.129.43.48:4022/udp/233.50.200.107:5140
CCTV-3,http://183.129.43.48:4022/udp/233.50.201.196:5140
CCTV-4,http://183.129.43.48:4022/udp/233.50.200.101:5140
CCTV-5,http://183.129.43.48:4022/udp/233.50.200.108:5140
CCTV-5,http://183.129.43.48:4022/udp/233.50.201.197:5140
CCTV-5+,http://183.129.43.48:4022/udp/233.50.201.220:5140
CCTV-6,http://183.129.43.48:4022/udp/233.50.200.109:5140
CCTV-6,http://183.129.43.48:4022/udp/233.50.201.198:5140
CCTV-7,http://183.129.43.48:4022/udp/233.50.200.102:5140
CCTV-7,http://183.129.43.48:4022/udp/233.50.200.24:5140
CCTV-7,http://183.129.43.48:4022/udp/233.50.201.120:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CCTV-8,http://183.129.43.48:4022/udp/233.50.200.110:5140
CCTV-8,http://183.129.43.48:4022/udp/233.50.201.199:5140
CCTV-9,http://183.129.43.48:4022/udp/233.50.200.23:5140
CCTV-9,http://183.129.43.48:4022/udp/233.50.201.121:5140
CCTV-10,http://183.129.43.48:4022/udp/233.50.200.22:5140
CCTV-10,http://183.129.43.48:4022/udp/233.50.201.122:5140
CCTV-11,http://183.129.43.48:4022/udp/233.50.201.11:5140
CCTV-12,http://183.129.43.48:4022/udp/233.50.200.21:5140
CCTV-12,http://183.129.43.48:4022/udp/233.50.201.123:5140
CCTV-13,http://183.129.43.48:4022/udp/233.50.200.97:5140
CCTV-13,http://183.129.43.48:4022/udp/233.50.200.111:5140
CCTV-13,http://183.129.43.48:4022/udp/233.50.201.246:5140
CCTV-14,http://183.129.43.48:4022/udp/233.50.200.20:5140
CCTV-14,http://183.129.43.48:4022/udp/233.50.200.103:5140
CCTV-14,http://183.129.43.48:4022/udp/233.50.201.124:5140
CCTV-15,http://183.129.43.48:4022/udp/233.50.201.15:5140
CCTV-16,http://183.129.43.48:4022/udp/233.50.200.112:5140
CCTV-16,http://183.129.43.48:4022/udp/233.50.201.192:5140
CCTV-16 4K,http://183.129.43.48:4022/udp/233.50.201.63:5140
CCTV-17,http://183.129.43.48:4022/udp/233.50.200.113:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CETV-4,http://183.129.43.48:4022/udp/233.50.200.162:5140
东方卫视,http://183.129.43.48:4022/udp/233.50.200.146:5140
东方卫视,http://183.129.43.48:4022/udp/233.50.200.248:5140
东方卫视,http://183.129.43.48:4022/udp/233.50.201.125:5140
北京卫视,http://183.129.43.48:4022/udp/233.50.200.179:5140
北京卫视,http://183.129.43.48:4022/udp/233.50.201.107:5140
江苏卫视,http://183.129.43.48:4022/udp/233.50.200.144:5140
江苏卫视,http://183.129.43.48:4022/udp/233.50.201.106:5140
湖南卫视,http://183.129.43.48:4022/udp/233.50.200.190:5140
湖南卫视,http://183.129.43.48:4022/udp/233.50.201.103:5140
深圳卫视,http://183.129.43.48:4022/udp/233.50.200.188:5140
天津卫视,http://183.129.43.48:4022/udp/233.50.200.104:5140
河北卫视,http://183.129.43.48:4022/udp/233.50.200.105:5140
安徽卫视,http://183.129.43.48:4022/udp/233.50.200.106:5140
重庆卫视,http://183.129.43.48:4022/udp/233.50.200.114:5140
四川卫视,http://183.129.43.48:4022/udp/233.50.200.118:5140
江西卫视,http://183.129.43.48:4022/udp/233.50.200.119:5140
深圳卫视,http://183.129.43.48:4022/udp/233.50.201.101:5140
广东卫视,http://183.129.43.48:4022/udp/233.50.201.102:5140
天津卫视,http://183.129.43.48:4022/udp/233.50.201.104:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
山东卫视,http://183.129.43.48:4022/udp/233.50.201.105:5140
四川卫视,http://183.129.43.48:4022/udp/233.50.201.139:5140
河北卫视,http://183.129.43.48:4022/udp/233.50.201.140:5140
辽宁卫视,http://183.129.43.48:4022/udp/233.50.201.141:5140
贵州卫视,http://183.129.43.48:4022/udp/233.50.201.142:5140
重庆卫视,http://183.129.43.48:4022/udp/233.50.201.143:5140
河南卫视,http://183.129.43.48:4022/udp/233.50.201.144:5140
江西卫视,http://183.129.43.48:4022/udp/233.50.201.145:5140
东南卫视,http://183.129.43.48:4022/udp/233.50.201.146:5140
安徽卫视,http://183.129.43.48:4022/udp/233.50.201.113:5140
湖北卫视,http://183.129.43.48:4022/udp/233.50.201.114:5140
黑龙江卫视,http://183.129.43.48:4022/udp/233.50.201.115:5140
中国蓝直播,http://183.129.43.48:4022/udp/233.50.201.193:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.202.21:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.202.22:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.54:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.1:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.31:5140
CCTV-2,http://183.129.43.48:4022/udp/233.50.201.2:5140
CCTV-3,http://183.129.43.48:4022/udp/233.50.201.16:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CCTV-4,http://183.129.43.48:4022/udp/233.50.201.4:5140
CCTV-5,http://183.129.43.48:4022/udp/233.50.201.17:5140
CCTV-6,http://183.129.43.48:4022/udp/233.50.201.18:5140
CCTV-7,http://183.129.43.48:4022/udp/233.50.201.7:5140
CCTV-8,http://183.129.43.48:4022/udp/233.50.201.19:5140
CCTV-10,http://183.129.43.48:4022/udp/233.50.201.10:5140
CCTV-12,http://183.129.43.48:4022/udp/233.50.201.12:5140
CCTV-13,http://183.129.43.48:4022/udp/233.50.201.13:5140
CCTV-14,http://183.129.43.48:4022/udp/233.50.201.14:5140
CCTV-17,http://183.129.43.48:4022/udp/233.50.201.35:5140
CGTN西班牙,http://183.129.43.48:4022/udp/233.50.201.36:5140
CGTN法语,http://183.129.43.48:4022/udp/233.50.201.37:5140
CGTN阿拉伯,http://183.129.43.48:4022/udp/233.50.201.38:5140
CGTN俄语,http://183.129.43.48:4022/udp/233.50.201.39:5140
北京卫视,http://183.129.43.48:4022/udp/233.50.201.40:5140
江苏卫视,http://183.129.43.48:4022/udp/233.50.201.41:5140
黑龙江卫视,http://183.129.43.48:4022/udp/233.50.201.42:5140
湖北卫视,http://183.129.43.48:4022/udp/233.50.201.43:5140
深圳卫视,http://183.129.43.48:4022/udp/233.50.201.45:5140
河南卫视,http://183.129.43.48:4022/udp/233.50.201.44:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
云南卫视,http://183.129.43.48:4022/udp/233.50.201.46:5140
天津卫视,http://183.129.43.48:4022/udp/233.50.201.47:5140
吉林卫视,http://183.129.43.48:4022/udp/233.50.201.48:5140
广西卫视,http://183.129.43.48:4022/udp/233.50.201.49:5140
河北卫视,http://183.129.43.48:4022/udp/233.50.201.50:5140
山西卫视,http://183.129.43.48:4022/udp/233.50.201.51:5140
湖南卫视,http://183.129.43.48:4022/udp/233.50.201.52:5140
江西卫视,http://183.129.43.48:4022/udp/233.50.201.53:5140
海南卫视,http://183.129.43.48:4022/udp/233.50.201.55:5140
广东卫视,http://183.129.43.48:4022/udp/233.50.201.56:5140
宁夏卫视,http://183.129.43.48:4022/udp/233.50.201.57:5140
东南卫视,http://183.129.43.48:4022/udp/233.50.201.58:5140
陕西卫视,http://183.129.43.48:4022/udp/233.50.201.59:5140
辽宁卫视,http://183.129.43.48:4022/udp/233.50.201.60:5140
四川卫视,http://183.129.43.48:4022/udp/233.50.201.61:5140
安徽卫视,http://183.129.43.48:4022/udp/233.50.201.62:5140
山东卫视,http://183.129.43.48:4022/udp/233.50.201.64:5140
青海卫视,http://183.129.43.48:4022/udp/233.50.201.65:5140
重庆卫视,http://183.129.43.48:4022/udp/233.50.201.66:5140
东方卫视,http://183.129.43.48:4022/udp/233.50.201.68:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
贵州卫视,http://183.129.43.48:4022/udp/233.50.201.69:5140
西藏卫视,http://183.129.43.48:4022/udp/233.50.201.70:5140
兵团卫视,http://183.129.43.48:4022/udp/233.50.201.72:5140
金鹰卡通,http://183.129.43.48:4022/udp/233.50.201.73:5140
哈哈炫动,http://183.129.43.48:4022/udp/233.50.201.74:5140
少儿,http://183.129.43.48:4022/udp/233.50.201.20:5140
CETV1,http://183.129.43.48:4022/udp/233.50.201.75:5140
好易购,http://183.129.43.48:4022/udp/233.50.201.76:5140
购物,http://183.129.43.48:4022/udp/233.50.201.77:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.88:5140
购物,http://183.129.43.48:4022/udp/233.50.201.90:5140
购物,http://183.129.43.48:4022/udp/233.50.201.91:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.92:5140
购物,http://183.129.43.48:4022/udp/233.50.201.93:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.94:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.96:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.95:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.97:5140
发现之旅,http://183.129.43.48:4022/udp/233.50.201.98:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.99:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CGTN,http://183.129.43.48:4022/udp/233.50.201.126:5140
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
广西组播源,#genre#
来自广西电信(222.217.124.115:8899)的组播源共有163个频道：
广西卫视,http://222.217.124.115:8899/udp/239.81.0.107:4056
广西综艺,http://222.217.124.115:8899/udp/239.81.0.214:4056
广西影视,http://222.217.124.115:8899/udp/239.81.0.250:4056
广西新闻,http://222.217.124.115:8899/udp/239.81.0.248:4056
广西公共,http://222.217.124.115:8899/udp/239.81.0.249:4056
广西都市,http://222.217.124.115:8899/udp/239.81.0.247:4056
广西卫视,http://222.217.124.115:8899/udp/239.81.0.2:4056
广西综艺,http://222.217.124.115:8899/udp/239.81.0.3:4056
广西都市,http://222.217.124.115:8899/udp/239.81.0.4:4056
广西新闻,http://222.217.124.115:8899/udp/239.81.0.5:4056
广西公共,http://222.217.124.115:8899/udp/239.81.0.6:4056
广西影视,http://222.217.124.115:8899/udp/239.81.0.7:4056
广西国际,http://222.217.124.115:8899/udp/239.81.0.8:4056
广西乐思购,http://222.217.124.115:8899/udp/239.81.0.9:4056
广西移动电视,http://222.217.124.115:8899/udp/239.81.0.10:4056
广西科教,http://222.217.124.115:8899/udp/239.81.0.11:4056
CCTV1,http://222.217.124.115:8899/udp/239.81.0.102:4056
CCTV1,http://222.217.124.115:8899/udp/239.81.0.13:4056
